threshold,precision,recall,f1,accuracy
0.0,0.69,1.0,0.82,0.69
0.05,0.69,1.0,0.82,0.69
0.1,0.69,1.0,0.82,0.69
0.15,0.69,1.0,0.82,0.69
0.2,0.69,1.0,0.82,0.69
0.25,0.69,1.0,0.82,0.69
0.3,0.69,1.0,0.82,0.69
0.35,0.69,1.0,0.82,0.69
0.4,0.7,1.0,0.83,0.71
0.45,0.79,0.98,0.87,0.8
0.5,0.83,0.98,0.9,0.85
0.55,0.83,0.95,0.89,0.83
0.6,0.84,0.91,0.87,0.81
0.65,0.83,0.79,0.81,0.74
0.7,0.82,0.55,0.66,0.61
0.75,0.86,0.21,0.34,0.43
0.8,1.0,0.06,0.11,0.35
0.85,1.0,0.02,0.05,0.33
0.9,1.0,0.01,0.02,0.32
0.95,0.0,0.0,0.0,0.31
1.0,0.0,0.0,0.0,0.31
